m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
88.75,88750000,8,2,0,8,2,1.361727836,23,0,1,0,0,25
9,9000000,7,2,0,4,17,1.4623979979,29,0,0,0,0,25
2385,2385000000,9,3,1,3,18,3.4768316285,2998,2,0,0,0,30
2423.2,2423200000,9,2,0,2,18,3.4794313372,3016,8,0,0,0,30
0,0,0,1,1,6,0,0.4771212547,3,4,1,1,0,25
2388.5,2388500000,9,2,1,6,18,3.4766867429,2997,5,0,0,0,31
20.686432,20686432,7,1,0,3,0,0.9542425094,9,1,1,0,0,25
8.75,8750000,7,1,0,3,0,0.7781512504,6,0,0,0,0,25
41,41000000,8,1,1,12,1,1.5797835966,38,3,0,1,0,25
0,0,0,3,1,13,2,1,10,0,0,0,0,25
158.5,158500000,8,2,1,9,1,2.1271047984,134,29,0,1,0,25
78.029,78029000,8,2,1,6,2,1.3979400087,25,2,1,0,0,25
197,197000000,8,2,1,7,3,2.278753601,190,1,1,0,0,25
0,0,0,2,0,3,1,0.7781512504,6,0,0,0,0,44
0,0,0,4,1,12,1,1.3222192947,21,0,0,0,0,25
1187.166511,1187166511,9,5,1,7,5,3.3567904604,2274,8,0,0,0,25
1575.95,1575950000,9,3,1,10,0,2.2278867046,169,12,1,0,1,25
1750.666511,1750666511,9,2,1,8,9,3.3872118003,2439,13,0,0,0,38
1187.166511,1187166511,9,5,1,12,5,3.3565994357,2273,3,0,0,0,25
25.762,25762000,7,1,1,3,0,1.8512583487,71,0,0,0,0,25
25.762,25762000,7,1,0,1,0,1.8512583487,71,2,0,0,0,25
32.762,32762000,8,2,0,2,0,1.9190780924,83,8,0,0,0,25
41,41000000,8,2,1,4,1,1.5797835966,38,0,0,0,0,25
88.598258,88598258,8,9,1,13,1,1.079181246,12,5,0,0,0,25
0,0,0,1,0,3,6,0,1,0,0,0,0,25
8.7,8700000,7,5,1,6,4,2.5065050324,321,2,1,0,0,25
19.3,19300000,7,1,1,4,0,0.3010299957,2,1,0,0,0,25
0,0,0,1,1,5,0,1.079181246,12,4,0,1,0,25
8,8000000,7,1,1,4,0,0,0,0,1,0,1,25
0,0,0,1,0,3,0,0.3010299957,2,0,0,0,0,25
55.5,55500000,8,4,1,6,0,1.7075701761,51,14,0,0,0,25
23.3,23300000,7,3,1,10,0,1.6232492904,42,5,1,0,1,25
0.5,500000,6,1,0,1,0,0,0,0,0,0,0,25
22,22000000,7,2,0,2,4,1.4623979979,29,0,0,0,0,25
21.3,21300000,7,4,1,15,1,1.7075701761,51,28,0,0,0,44
23.35,23350000,7,1,0,3,2,1.4623979979,29,0,1,0,1,25
23.35,23350000,7,1,0,1,2,1.4623979979,29,0,0,0,0,25
69.75,69750000,8,1,0,5,2,1.6127838567,41,0,1,0,1,25
6,6000000,7,1,1,13,0,0,0,3,0,0,0,25
0,0,0,1,1,23,0,1.5185139399,33,0,0,0,0,25
30.632151,30632151,7,5,1,11,3,1.6127838567,41,0,1,0,0,25
88.651133,88651133,8,2,0,8,1,1.2041199827,16,0,0,0,0,25
56.99,56990000,8,3,0,5,10,1.1461280357,14,0,1,0,0,25
0.8,800000,6,2,0,3,0,0.4771212547,3,0,0,1,0,25
55,55000000,8,1,0,2,1,1.0413926852,11,0,0,0,0,25
119,119000000,8,3,1,5,0,2.0334237555,108,1,0,0,0,42
3.9,3900000,7,2,1,26,0,0.4771212547,3,6,1,0,0,25
0,0,0,2,1,9,0,1.1139433523,13,0,1,0,1,25
4.7,4700000,7,1,0,1,1,1.079181246,12,0,0,0,0,25
4.7,4700000,7,1,1,3,1,1.079181246,12,0,0,0,0,25
162.4,162400000,8,4,1,9,1,1.4771212547,30,0,1,0,1,25
0,0,0,1,0,2,0,0,0,0,0,0,0,25
11.5,11500000,7,2,1,4,3,2.7781512504,600,0,0,0,0,37
11.5,11500000,7,2,1,5,3,2.7781512504,600,10,1,0,0,36
14.699973,14699973,7,1,0,1,4,1.7242758696,53,0,0,0,0,25
46.35,46350000,8,5,1,7,0,2.0492180227,112,8,0,0,0,25
35.05,35050000,8,2,0,4,0,1.2552725051,18,3,1,0,0,25
8,8000000,7,2,0,4,0,1.9344984512,86,1,0,0,0,25
60.31,60310000,8,1,0,2,2,2.0755469614,119,0,1,1,0,25
60.31,60310000,8,1,0,1,2,2.0755469614,119,2,0,0,0,25
1.5,1500000,6,2,0,7,0,0.6020599913,4,0,0,1,0,25
0,0,0,2,0,6,0,0,0,0,0,0,0,25
22,22000000,7,3,0,10,1,1.9777236053,95,0,0,1,0,25
4,4000000,7,1,0,3,1,1.4913616938,31,1,0,0,0,25
10.25,10250000,7,1,1,3,1,2.5587085705,362,9,0,0,1,25
10.25,10250000,7,1,0,2,1,2.5587085705,362,3,1,0,0,25
10.25,10250000,7,1,0,1,1,2.5587085705,362,3,0,0,0,43
0,0,0,1,0,1,1,0,1,0,0,0,0,25
15,15000000,7,3,1,6,2,1.1760912591,15,1,0,0,0,46
0,0,0,1,0,4,0,0.6989700043,5,0,0,0,0,25
386.76,386760000,9,5,0,8,1,1.361727836,23,2,0,0,0,25
52.5,52500000,8,1,0,1,1,1,10,0,0,0,0,25
0,0,0,2,0,5,0,1.5051499783,32,0,1,0,0,25
1.7,1700000,6,3,1,8,3,1.6020599913,40,1,0,0,0,25
9,9000000,7,1,0,1,17,1.4313637642,27,0,0,0,0,25
9,9000000,7,1,0,4,17,1.4313637642,27,1,0,0,0,25
0,0,0,2,1,6,1,0.3010299957,2,0,0,0,0,46
0,0,0,3,1,16,0,0.3010299957,2,0,1,0,0,25
12,12000000,7,2,0,2,23,0.3010299957,2,0,0,0,0,25
0,0,0,1,0,1,1,0.3010299957,2,0,0,0,0,25
12,12000000,7,1,1,2,22,0,0,0,0,0,0,25
0,0,0,1,0,8,0,0,0,0,0,0,0,25
0,0,0,1,1,9,1,1.278753601,19,11,0,0,0,25
0,0,0,1,0,2,1,1.278753601,19,3,0,0,0,25
46,46000000,8,2,0,3,3,1.4623979979,29,4,0,0,0,25
46,46000000,8,2,0,3,3,1.4623979979,29,0,0,0,0,25
46,46000000,8,2,0,3,3,1.4623979979,29,0,0,1,0,25
46,46000000,8,2,0,3,3,1.4623979979,29,0,0,0,0,25
46,46000000,8,2,0,4,3,1.4623979979,29,0,0,0,0,25
247.505032,247505032,8,5,1,11,6,2.6106601631,408,1,1,1,1,48
247.505032,247505032,8,4,0,5,7,2.5820633629,382,3,0,0,0,38
0,0,0,1,0,11,0,0,0,0,0,0,0,25
6,6000000,7,5,0,7,1,1.531478917,34,1,0,0,0,47
30,30000000,7,1,0,1,2,1.3979400087,25,0,0,0,0,25
30,30000000,7,1,0,1,2,1.3979400087,25,0,0,0,0,25
12.5,12500000,7,2,0,7,2,0.3010299957,2,0,1,0,0,25
12.5,12500000,7,1,0,2,2,0.3010299957,2,0,0,0,0,37
6.7,6700000,7,1,0,2,1,1.2304489214,17,0,0,0,0,25
6.7,6700000,7,1,1,5,1,1.2304489214,17,0,0,1,0,25
3.9,3900000,7,1,0,2,0,1.3979400087,25,0,0,0,0,25
168.899155,168899155,8,3,1,8,5,0.6020599913,4,0,0,0,0,25
0,0,0,1,0,6,0,0,0,0,0,1,0,25
18,18000000,7,1,0,1,2,0.7781512504,6,0,0,0,0,25
18,18000000,7,1,0,2,2,0.7781512504,6,0,0,0,0,47
3.5,3500000,7,1,0,3,1,1.079181246,12,0,1,0,1,25
3.5,3500000,7,2,0,4,1,1.079181246,12,0,0,0,0,25
43,43000000,8,3,1,19,0,0.903089987,8,12,0,0,0,25
0,0,0,1,0,4,0,0,0,0,0,1,0,25
53.400191,53400191,8,2,0,3,7,0.6020599913,4,5,0,1,0,30
53.400191,53400191,8,1,0,3,5,0.4771212547,3,0,0,0,0,25
0,0,0,1,1,6,1,1.2041199827,16,1,1,0,0,25
0,0,0,1,1,9,0,1.2552725051,18,20,0,0,0,36
56,56000000,8,1,1,4,0,2.2380461031,173,18,0,0,0,25
0.775,775000,6,3,1,15,1,1.3424226808,22,3,0,1,1,37
0,0,0,1,1,17,1,1.278753601,19,0,0,0,0,25
0,0,0,1,0,2,1,0,1,0,0,0,0,25
0.05,50000,5,1,0,1,1,1,10,0,0,0,0,25
22.9,22900000,7,4,0,14,2,1.3424226808,22,0,1,0,0,25
0.552,552000,6,1,1,12,1,0.3010299957,2,23,0,1,0,25
37.1,37100000,8,3,1,7,2,1.4771212547,30,1,1,0,1,25
43.8,43800000,8,4,1,21,0,0.84509804,7,3,0,1,0,25
