permalink,year,m_fr_sum,fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,inv_num,cs_dummy,biz_dummy,master_dummy
ben-elowitz,2011,0,0,2,0,8,3,0,1,0,0
ben-elowitz,2012,0,0,2,0,8,3,0,1,0,0
ben-elowitz,2013,0,0,2,0,8,3,0,1,0,0
ben-elowitz,2014,0,0,2,0,8,3,0,1,0,0
ron-gorodetzky,2011,0,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2012,0,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2013,0,0,2,0,4,9,0,0,0,0
ron-gorodetzky,2014,0,0,2,0,4,9,0,0,0,0
mark-zuckerberg,2011,1500,1500000000,2,1,3,7,0,0,0,0
mark-zuckerberg,2012,0,0,2,1,3,7,0,0,0,0
mark-zuckerberg,2013,0,0,3,1,3,8,1,0,0,0
mark-zuckerberg,2014,0,0,3,1,3,10,3,0,0,0
dustin-moskovitz,2011,1500,1500000000,2,0,2,6,24,0,0,0
dustin-moskovitz,2012,28,28000000,2,0,2,6,28,0,0,0
dustin-moskovitz,2013,0,0,2,0,2,7,28,0,0,0
dustin-moskovitz,2014,0,0,2,0,2,9,36,0,0,0
matt-cohler,2011,0,0,0,1,6,1,3,1,1,0
matt-cohler,2012,0,0,0,1,6,1,3,1,1,0
matt-cohler,2013,0,0,1,1,6,1,6,1,1,0
matt-cohler,2014,0,0,1,1,6,1,10,1,1,0
chris-hughes,2011,1500,1500000000,2,1,6,6,4,0,0,0
chris-hughes,2012,0,0,2,1,6,6,10,0,0,0
chris-hughes,2013,0,0,2,1,6,7,10,0,0,0
chris-hughes,2014,0,0,2,1,6,9,15,0,0,0
darren-crystal,2011,0,0,1,0,3,1,1,1,0,0
darren-crystal,2012,0,0,1,0,3,1,1,1,0,0
darren-crystal,2013,0,0,1,0,3,1,1,1,0,0
darren-crystal,2014,3.186432,3186432,1,0,3,1,1,1,0,0
michael-clark,2011,0,0,1,0,3,1,0,0,0,0
michael-clark,2012,0,0,1,0,3,1,0,0,0,0
michael-clark,2013,0,0,1,0,3,1,0,0,0,0
michael-clark,2014,0,0,1,0,3,1,0,0,0,0
peter-pham,2011,28,28000000,1,1,12,1,3,0,1,0
peter-pham,2012,0,0,1,1,12,1,4,0,1,0
peter-pham,2013,0,0,1,1,12,1,6,0,1,0
peter-pham,2014,0,0,1,1,12,1,6,0,1,0
alice-lankester,2011,0,0,3,1,13,4,0,0,0,0
alice-lankester,2012,0,0,3,1,13,4,0,0,0,0
